date,mean winter Schmidt stability
1982,0.0
1983,1.05
1999,1.61
2000,0.78
2001,0.03
2002,0.0
2004,0.0
2005,0.98
2006,-0.24
2007,3.5
2008,-0.4
2009,1.13
2010,-0.13
2011,0.6
2012,1.26
2013,-0.1
2014,0.08
2015,1.06
2016,10.44
2017,-0.4
2018,0.27
2019,1.25
2020,-0.62
2022,0.21
2023,-0.04
