date,mean spring Secchi depth
2003,3.29
2004,7.08
2005,8.49
2006,4.48
2007,5.08
2008,5.49
2009,4.76
2010,5.37
2011,4.73
2013,4.48
2014,8.9
2015,8.82
2017,5.51
2018,6.4
2019,8.49
2021,8.96
2022,9.2
2023,13.19
