date,mean winter hypolimnetic density
1999,1000.1526
2000,1000.163
2001,1000.1292
2002,1000.166
2004,1000.1478
2005,1000.1435
2006,1000.1675
2007,1000.1418
2008,1000.1511
2009,1000.1708
2010,1000.1616
2011,1000.1602
2012,1000.1539
2013,1000.1578
2014,1000.1479
2015,1000.12
2016,1000.1114
2017,1000.1646
2018,1000.1429
2019,1000.1425
2020,1000.1011
2022,1000.1206
2023,1000.0869
