date,maximum winter-spring mixing depth with salinity (0.005 kgm-3)
1999,152.0
2000,143.0
2001,152.0
2002,152.0
2003,152.0
2004,152.0
2005,152.0
2006,152.0
2007,152.0
2008,152.0
2009,152.0
2010,152.0
2011,107.0
2012,152.0
2013,152.0
2014,141.0
2015,152.0
2016,152.0
2017,152.0
2018,152.0
2019,152.0
2020,152.0
2021,144.0
2022,152.0
2023,152.0
