date,mean early autumn hypolimnetic oxygen content
1982,558.51
1983,553.61
1984,630.19
1985,614.91
1986,641.99
1987,624.77
1988,581.14
1989,545.87
1990,553.61
1991,584.74
1993,555.16
1994,593.79
1995,464.14
1996,583.77
1997,530.78
1998,733.36
1999,671.95
2000,614.89
2001,556.32
2002,602.28
2003,614.88
2004,582.0
2005,629.85
2006,634.07
2007,555.24
2008,588.9
2009,586.78
2010,603.09
2011,578.24
2012,540.55
2013,592.38
2014,531.73
2015,563.63
2016,561.66
2017,548.09
2018,585.44
2019,578.87
2020,534.61
2021,619.47
2022,627.62
2023,595.89
