date,mean early autumn thermocline depth
1957,22.74
1958,17.46
1959,16.6
1960,20.26
1982,19.71
1983,15.09
1984,18.31
1985,18.23
1986,18.73
1987,17.12
1988,22.53
1989,21.01
1990,17.77
1993,24.94
1994,19.69
1995,23.48
1996,21.2
1997,15.86
1998,21.39
1999,18.76
2000,6.53
2001,17.56
2002,21.24
2003,16.47
2004,18.24
2005,17.91
2006,20.82
2007,20.61
2008,17.09
2009,21.51
2010,23.53
2011,18.69
2012,20.24
2013,18.29
2014,21.37
2015,19.5
2016,16.41
2017,18.46
2018,17.93
2019,18.59
2020,19.51
2021,19.14
2022,18.3
2023,16.47
