date,mean annual bottom conductivity
1999,322.65
2000,324.44
2001,327.53
2002,327.67
2003,332.83
2004,325.78
2005,328.15
2006,328.95
2007,329.48
2008,329.25
2009,331.68
2010,331.03
2011,328.56
2012,326.28
2013,332.03
2014,335.64
2015,336.02
2016,333.08
2017,331.76
2018,329.85
2019,324.02
2020,325.03
2021,321.83
2022,325.1
2023,324.96
