date,mean spring bottom temperature
1982,5.29
1983,5.16
1984,4.3
1985,4.19
1986,4.39
1987,4.14
1988,5.16
1989,5.47
1990,5.9
1991,4.84
1992,4.69
1993,4.9
1994,5.16
1996,5.07
1997,4.92
1998,5.75
1999,4.76
2000,5.08
2001,5.7
2002,5.49
2003,5.33
2004,5.18
2005,4.69
2006,4.21
2007,5.94
2008,5.66
2009,4.91
2010,4.59
2011,4.98
2012,4.21
2013,4.84
2014,5.81
2015,5.84
2016,6.21
2017,5.47
2018,4.98
2019,5.88
2020,6.73
2021,6.22
2022,6.29
2023,6.38
