date,mean annual surface conductivity
1999,297.97
2000,300.97
2001,304.15
2002,304.84
2003,291.76
2004,304.21
2005,302.45
2006,305.13
2007,304.42
2008,303.08
2009,301.78
2010,304.58
2011,296.14
2012,301.07
2013,309.73
2014,309.79
2015,309.26
2016,307.7
2017,303.33
2018,301.87
2019,302.29
2020,303.16
2021,309.22
2022,302.5
2023,303.6
