date,mean annual Secchi depth
2003,5.66
2004,7.03
2006,6.62
2007,5.46
2008,6.65
2009,6.79
2010,6.53
2011,8.43
2013,6.69
2014,6.95
2015,7.78
2017,7.62
2018,6.96
2019,9.56
2022,7.62
2023,9.16
