date,mean early autumn bottom oxygen concentration
1982,8.32
1983,6.29
1984,8.45
1985,8.33
1986,8.35
1987,8.47
1988,8.13
1989,7.7
1990,7.31
1991,8.29
1993,8.14
1994,8.36
1995,6.21
1996,8.78
1997,8.08
1998,9.4
1999,9.43
2000,8.59
2001,8.31
2002,8.39
2003,7.6
2004,8.69
2005,8.71
2006,8.75
2007,8.17
2008,8.04
2009,8.8
2010,9.17
2011,8.11
2012,8.46
2013,8.58
2014,8.11
2015,8.16
2016,8.22
2017,8.38
2018,8.83
2019,8.96
2020,8.8
2021,9.61
2022,8.9
2023,9.33
