date,mean winter Secchi depth
2004,4.02
2005,11.88
2006,11.42
2007,9.52
2008,10.41
2009,13.81
2010,10.1
2011,9.96
2013,7.32
2014,11.94
2015,9.0
2016,8.24
2017,9.63
2018,5.88
2019,14.81
2020,14.96
