date,minimum bottom oxygen concentration
1982,7.1
1983,6.2
1984,8.0
2000,8.35
2001,7.1
2002,8.1
2003,7.45
2004,8.1
2005,7.9
2006,8.45
2007,8.0
2008,7.95
2009,8.6
2010,8.75
2011,6.4
2012,8.4
2013,8.3
2014,7.3
2015,7.15
2016,7.65
2017,8.1
2018,8.7
2019,8.85
2020,8.3
2021,9.4
2022,8.75
2023,8.9
