date,minimum surface temperature
1961,4.9
1963,1.7
1982,4.9
1983,5.2
1984,4.2
1999,4.5
2000,5.4
2001,5.6
2002,5.4
2003,5.2
2004,5.4
2005,5.4
2006,4.46
2007,6.29
2008,5.81
2009,4.79
2010,4.69
2011,5.14
2012,4.36
2013,4.87
2014,5.83
2015,5.79
2016,6.21
2017,5.56
2018,5.6
2019,6.03
2020,6.71
2021,6.43
2022,6.47
2023,6.43
