date,mean spring surface temperature
1961,10.54
1963,3.77
1982,5.81
1983,8.2
1984,6.68
1985,5.55
1986,6.11
1987,5.88
1988,7.21
1989,7.29
1990,9.81
1992,6.44
1993,7.93
1994,8.03
1996,8.2
1997,7.86
1998,10.61
1999,7.14
2000,8.43
2001,7.54
2002,7.91
2003,9.15
2004,7.28
2005,6.79
2006,7.94
2007,13.96
2008,8.16
2009,11.39
2010,6.57
2011,10.07
2012,8.28
2013,9.25
2014,7.92
2015,8.87
2016,8.51
2017,11.26
2018,7.63
2019,8.67
2020,9.96
2021,8.55
2022,9.68
2023,8.85
