date,mean summer surface temperature
1957,14.7
1958,17.46
1961,16.65
1963,20.29
1982,18.76
1983,22.47
1984,18.66
1985,19.31
1986,21.22
1987,18.96
1988,20.01
1989,19.7
1990,20.55
1992,20.8
1993,19.86
1994,24.8
1995,20.99
1996,19.71
1997,19.4
1998,20.54
1999,21.35
2000,18.78
2001,21.51
2002,22.57
2003,23.69
2004,20.24
2005,18.72
2006,24.97
2007,18.24
2008,21.42
2009,20.9
2010,20.92
2011,21.21
2012,20.49
2013,21.1
2014,20.21
2015,23.65
2016,21.26
2017,20.51
2018,21.68
2019,21.18
2020,20.74
2021,21.42
2022,22.86
2023,23.26
