date,mean spring surface oxygen concentration
1961,13.92
1963,13.31
1982,11.9
1983,13.32
1984,12.81
1985,12.47
1986,12.77
1987,12.27
1988,12.56
1989,12.07
1990,12.87
1991,12.48
1992,12.17
1993,13.12
1994,12.14
1996,10.99
1998,10.52
1999,10.02
2000,11.46
2001,12.05
2002,12.88
2003,14.16
2004,11.66
2005,11.94
2006,12.95
2007,12.38
2008,12.16
2009,12.92
2010,11.85
2011,12.59
2012,11.98
2013,13.05
2014,11.32
2015,11.71
2016,12.14
2017,13.0
2018,12.59
2019,12.14
2020,10.99
2021,11.58
2022,12.18
2023,11.92
