date,mean summer surface oxygen concentration
1961,9.45
1963,10.75
1982,9.56
1983,11.18
1984,10.09
1985,10.78
1986,9.75
1987,9.88
1988,9.77
1989,10.12
1990,11.25
1991,10.39
1992,10.5
1993,9.58
1994,11.59
1995,10.53
1996,9.93
1997,10.13
1998,9.17
1999,9.41
2000,9.61
2001,10.2
2002,9.4
2003,9.37
2004,9.59
2005,9.93
2006,9.1
2007,9.94
2008,9.07
2009,8.97
2010,9.47
2011,10.02
2012,9.05
2013,9.8
2014,9.82
2015,9.5
2016,10.06
2017,9.53
2018,9.34
2019,9.68
2020,9.73
2021,9.75
2022,8.96
2023,9.3
