date,mean winter surface temperature
1961,5.28
1982,5.22
1983,5.64
1999,5.75
2000,5.48
2001,6.38
2002,5.4
2004,5.95
2005,6.17
2006,5.18
2007,6.36
2008,5.95
2009,5.33
2010,5.49
2011,5.56
2012,5.68
2013,5.7
2014,6.1
2015,6.87
2016,7.22
2017,5.57
2018,6.2
2019,6.22
2020,7.11
2022,6.74
2023,7.38
