date,mean autumn Secchi depth
1997,6.22
1998,6.11
1999,5.48
2000,4.72
2001,5.04
2002,5.15
2003,4.06
2004,6.05
2005,7.28
2006,6.07
2007,6.05
2008,4.96
2009,7.17
2010,5.8
2011,6.12
2012,5.74
2013,6.41
2014,5.74
2015,6.37
2016,6.18
2017,5.68
2018,6.94
2019,5.68
2020,7.76
2021,6.76
2022,5.44
2023,6.83
