date,mean annual bottom conductivity
1974,303.52
1975,310.03
1976,293.33
1977,297.89
1978,310.76
1979,312.0
1980,304.65
1981,290.19
1982,302.8
1983,308.38
1984,324.2
1987,331.65
1988,344.91
1989,338.2
1990,327.17
1991,372.34
1992,324.23
1993,327.01
1994,329.81
1995,327.93
1996,345.38
1997,333.91
1998,332.04
1999,333.77
2000,332.14
2001,331.93
2002,327.86
2003,325.34
2004,328.78
2005,334.44
2006,344.7
2007,333.91
2008,329.71
2009,365.66
2010,332.83
2011,354.62
2012,346.78
2013,353.03
2014,354.39
2015,346.89
2016,345.85
2017,346.28
2018,375.81
2019,344.1
2020,330.05
2021,337.37
2022,338.81
2023,336.66
