date,mean autumn epilimnion 0-5 m oxygen concentration
1974,9.57
1975,9.12
1976,9.24
1977,9.69
1978,8.81
1979,9.06
1980,9.81
1981,9.49
1982,9.79
1983,10.55
1984,10.31
1985,9.38
1986,10.62
1987,9.54
1988,9.47
1989,8.88
1990,9.36
1991,9.35
1992,9.01
1993,9.45
1994,9.67
1995,9.64
1996,9.82
1997,9.49
1998,9.5
1999,10.0
2000,9.91
2001,11.48
2002,10.7
2003,10.89
2004,9.91
2005,10.26
2006,11.5
2007,10.15
2008,11.29
2009,10.56
2010,10.66
2011,9.69
2012,9.5
2013,9.95
2014,10.19
2015,9.6
2016,9.55
2017,9.67
2018,10.8
2019,9.5
2020,10.03
2021,9.3
2022,9.54
2023,9.06
