date,mean summer epilimnion 5-10 m oxygen concentration
1974,10.58
1975,10.49
1976,6.95
1977,9.75
1978,9.96
1979,10.07
1980,10.22
1981,10.17
1982,9.35
1983,9.67
1984,9.54
1985,9.69
1986,10.17
1987,9.99
1988,9.47
1989,8.52
1990,9.15
1991,8.62
1992,9.2
1993,9.39
1994,8.84
1995,9.08
1996,9.6
1997,9.74
1998,9.65
1999,9.99
2000,10.29
2001,9.16
2002,10.37
2003,10.38
2004,11.29
2005,11.18
2006,11.25
2007,10.72
2008,12.06
2009,10.43
2010,10.54
2011,11.27
2012,9.38
2013,10.64
2014,9.56
2015,9.25
2016,10.5
2017,10.01
2018,9.37
2019,10.0
2020,9.6
2021,9.58
2022,9.7
2023,9.35
