date,mean late summer Secchi depth
1997,4.43
1998,5.1
1999,3.13
2000,3.69
2001,3.77
2002,4.33
2003,4.73
2004,4.93
2005,5.55
2006,4.79
2007,4.53
2008,4.64
2009,4.06
2010,5.29
2011,5.1
2012,5.15
2013,4.57
2014,4.93
2015,4.08
2016,4.26
2017,5.08
2018,3.95
2019,4.29
2020,4.9
2021,4.98
2022,5.34
2023,5.0
