date,mean spring epilimnion 0-5 m oxygen concentration
1974,15.06
1975,12.21
1976,14.31
1977,12.14
1978,12.42
1979,11.96
1980,12.03
1981,13.33
1982,13.8
1983,12.24
1984,12.82
1985,12.06
1986,13.22
1987,13.6
1988,12.69
1989,11.68
1990,11.98
1991,12.72
1992,12.0
1993,12.84
1994,13.01
1995,13.14
1996,12.88
1997,11.83
1998,12.34
1999,13.23
2000,13.06
2001,11.82
2002,12.41
2003,12.0
2004,12.79
2005,12.79
2006,12.29
2007,13.45
2008,14.25
2009,13.56
2010,14.34
2011,12.78
2012,11.96
2013,12.41
2014,12.1
2015,13.04
2016,11.72
2017,11.94
2018,12.02
2019,11.94
2021,11.99
2022,11.61
2023,11.64
