date,mean winter Secchi depth
1997,5.11
1998,4.01
1999,5.12
2001,4.65
2002,3.21
2003,4.27
2004,2.72
2005,6.66
2006,3.75
2007,4.36
2008,5.42
2009,4.76
2010,4.7
2011,4.25
2012,3.64
2013,5.67
2014,6.57
2015,2.85
2016,4.32
2017,3.88
2018,8.43
2019,3.57
2020,7.28
2021,9.9
2022,7.35
2023,8.33
