date,mean autumn bottom oxygen concentration
1974,7.22
1975,1.7
1976,2.04
1977,3.98
1978,2.56
1979,3.06
1980,3.91
1981,5.81
1982,4.54
1983,3.55
1984,4.61
1985,5.03
1986,3.59
1987,0.35
1988,0.17
1989,0.29
1990,0.7
1991,2.1
1992,1.97
1993,2.02
1994,1.11
1995,1.3
1996,1.97
1997,1.28
1998,1.96
1999,0.94
2000,1.63
2001,2.33
2002,2.46
2003,2.13
2004,0.97
2005,0.77
2006,1.2
2007,1.56
2008,1.79
2009,0.91
2010,1.9
2011,1.12
2012,2.32
2013,2.55
2014,2.06
2015,0.74
2016,2.85
2017,3.19
2018,1.99
2019,2.95
2020,1.83
2021,3.83
2022,1.2
2023,2.14
