date,mean autumn bottom temperature
1974,8.38
1975,8.26
1976,8.39
1977,7.94
1978,9.58
1979,8.05
1980,8.39
1981,8.3
1982,7.48
1983,8.32
1984,7.95
1985,8.26
1986,7.52
1987,8.79
1988,7.68
1989,8.29
1990,8.99
1991,8.15
1992,8.4
1993,7.75
1994,8.27
1995,8.63
1996,7.77
1997,9.18
1998,8.66
1999,7.95
2000,8.36
2001,8.63
2002,9.07
2003,8.23
2004,8.91
2005,8.11
2006,8.27
2007,9.63
2008,8.24
2009,7.5
2010,7.94
2011,6.17
2012,8.6
2013,8.38
2014,8.41
2015,8.24
2016,8.51
2017,8.97
2018,7.98
2019,8.89
2020,8.52
2021,9.14
2022,8.75
2023,9.09
