date,mean annual surface temperature
1974,11.4
1975,12.83
1976,12.55
1977,11.35
1978,11.67
1979,11.61
1980,10.33
1981,10.14
1982,11.09
1983,11.5
1984,10.78
1986,10.85
1987,11.2
1988,12.29
1989,12.54
1990,14.03
1991,12.19
1992,12.44
1993,12.5
1994,12.95
1995,12.73
1996,11.73
1997,12.13
1998,12.25
1999,12.35
2000,14.1
2001,12.35
2002,13.5
2003,13.91
2004,12.61
2005,12.84
2006,12.33
2007,12.52
2008,12.36
2009,12.56
2010,12.34
2011,13.17
2012,12.48
2013,12.09
2014,13.39
2015,12.81
2016,13.54
2017,13.37
2018,15.15
2019,13.72
2020,13.86
2021,13.22
2022,15.09
2023,14.3
