date,mean spring Secchi depth
1997,4.08
1998,3.86
1999,3.91
2000,3.6
2001,3.88
2002,4.49
2003,3.26
2004,4.57
2005,5.23
2006,5.63
2007,6.41
2008,5.09
2009,4.25
2010,5.34
2011,5.89
2012,5.17
2013,5.33
2014,7.13
2015,3.57
2016,5.29
2017,3.95
2018,5.39
2019,6.85
2021,6.64
2022,9.53
2023,7.74
