date,mean early autumn bottom oxygen concentration
1974,3.14
1975,0.84
1976,1.0
1977,3.11
1978,2.29
1979,1.8
1980,0.62
1981,3.58
1982,2.66
1983,3.61
1984,3.59
1986,5.58
1987,0.51
1988,0.27
1989,0.47
1990,0.97
1991,0.65
1992,1.16
1993,1.94
1994,2.1
1995,1.66
1996,2.94
1997,2.24
1998,2.24
1999,1.84
2000,2.29
2001,3.58
2002,2.78
2003,2.62
2004,2.81
2005,2.66
2006,2.85
2007,2.63
2008,3.45
2009,2.37
2010,3.06
2011,2.48
2012,3.66
2013,3.8
2014,3.39
2015,1.97
2016,3.68
2017,2.94
2018,3.39
2019,4.31
2020,3.21
2021,4.81
2022,2.6
2023,3.05
