date,mean autumn epilimnion 5-10 m oxygen concentration
1974,9.52
1975,8.94
1976,9.21
1977,9.24
1978,8.73
1979,9.04
1980,9.57
1981,9.23
1982,9.28
1983,8.94
1984,9.94
1985,9.14
1986,9.88
1987,9.46
1988,9.22
1989,8.73
1990,8.88
1991,9.31
1992,8.8
1993,9.26
1994,9.66
1995,9.55
1996,9.69
1997,9.47
1998,9.21
1999,10.0
2000,9.58
2001,10.16
2002,10.33
2003,10.67
2004,9.9
2005,10.19
2006,12.12
2007,10.17
2008,10.72
2009,10.34
2010,10.36
2011,9.54
2012,8.51
2013,9.76
2014,9.41
2015,9.54
2016,9.38
2017,9.52
2018,10.42
2019,9.27
2020,9.44
2021,9.12
2022,9.1
2023,8.92
