date,mean spring epilimnion 0-10 m oxygen concentration
1974,13.89
1975,12.01
1976,13.49
1977,12.08
1978,12.26
1979,11.95
1980,11.99
1981,13.09
1982,13.38
1983,12.18
1984,12.71
1985,11.98
1986,13.03
1987,13.2
1988,12.72
1989,11.54
1990,11.74
1991,12.29
1992,11.96
1993,12.79
1994,12.83
1995,12.97
1996,12.72
1997,11.92
1998,12.21
1999,12.95
2000,12.73
2001,11.78
2002,12.24
2003,11.78
2004,12.89
2005,12.88
2006,12.22
2007,13.72
2008,14.16
2009,13.73
2010,14.21
2011,13.0
2012,11.92
2013,12.39
2014,12.03
2015,12.82
2016,11.64
2017,11.94
2018,11.98
2019,11.93
2021,11.98
2022,11.65
2023,11.64
