date,mean winter bottom oxygen concentration
1974,10.83
1975,10.48
1976,11.02
1977,10.88
1978,11.27
1979,10.87
1980,11.44
1981,11.65
1982,11.16
1983,11.19
1984,11.3
1986,11.34
1987,8.86
1988,10.73
1989,9.4
1990,9.19
1991,10.36
1992,10.76
1993,11.21
1994,11.02
1995,11.05
1996,10.59
1997,9.28
1998,11.03
1999,9.33
2001,10.49
2002,12.18
2003,13.15
2004,12.83
2005,11.22
2006,12.0
2007,11.41
2008,13.68
2009,12.69
2010,12.59
2011,13.1
2012,11.6
2013,11.89
2014,11.21
2015,11.46
2016,11.01
2017,12.92
2018,11.37
2019,11.5
2020,11.08
2021,11.46
2022,11.35
2023,11.26
