date,mean winter epilimnion 0-5 m oxygen concentration
1974,11.08
1975,10.95
1976,11.36
1977,11.18
1978,11.32
1979,11.2
1980,11.49
1981,11.9
1982,12.08
1983,11.31
1984,11.36
1986,11.66
1987,12.64
1988,10.9
1989,10.82
1990,10.53
1991,11.44
1992,11.03
1993,11.38
1994,11.22
1995,11.21
1996,11.22
1997,11.44
1998,11.57
1999,11.16
2001,11.18
2002,12.06
2003,13.37
2004,12.86
2005,11.23
2006,12.42
2007,11.52
2008,13.75
2009,12.8
2010,12.64
2011,13.06
2012,12.03
2013,12.26
2014,11.56
2015,11.73
2016,11.15
2017,13.87
2018,11.44
2019,11.79
2020,11.34
2021,11.64
2022,11.5
2023,11.41
