date,mean winter Schmidt stability
1974,0.05
1975,-0.02
1976,1.62
1977,0.34
1978,0.21
1979,-0.53
1980,-0.19
1981,0.76
1982,15.91
1983,0.0
1984,0.0
1986,0.67
1987,0.05
1988,0.58
1989,-0.22
1991,4.2
1992,0.18
1993,0.89
1994,0.08
1995,0.86
1996,-0.0
1997,9.74
1998,0.99
1999,0.1
2001,0.14
2002,0.49
2003,0.13
2004,0.47
2005,0.04
2006,1.03
2007,-0.28
2008,0.14
2009,0.47
2010,0.09
2011,0.94
2012,0.27
2013,-0.48
2014,0.18
2015,0.43
2016,1.32
2017,8.9
2018,0.17
2019,0.35
2020,1.36
2021,0.52
2022,-0.08
2023,0.93
