date,minimum surface temperature
1974,4.1
1975,4.2
1976,3.8
1977,3.3
1978,3.0
1979,2.6
1980,3.3
1981,2.2
1982,0.9
1983,2.6
1984,2.3
1986,1.2
1987,1.1
1988,3.7
1989,4.3
1990,5.4
1991,1.7
1992,2.4
1993,3.9
1994,4.2
1995,3.5
1996,3.1
1997,1.1
1998,3.3
1999,2.8
2000,4.4
2001,4.4
2002,4.5
2003,3.8
2004,3.9
2005,1.9
2006,2.5
2007,4.5
2008,4.4
2009,2.8
2010,1.9
2011,3.2
2012,1.6
2013,3.7
2014,4.8
2015,2.8
2016,5.4
2017,1.8
2018,5.1
2019,4.6
2020,5.8
2021,4.2
2022,5.2
2023,4.7
