date,mean annual hypolimnetic density
1974,1000.0918
1975,1000.0833
1976,1000.0683
1977,1000.0829
1978,1000.0142
1979,1000.0851
1980,1000.0728
1981,1000.0856
1982,1000.0965
1983,1000.0904
1984,1000.089
1988,1000.1191
1989,1000.1034
1990,1000.0668
1991,1000.1367
1992,1000.0861
1993,1000.1157
1994,1000.0819
1995,1000.0757
1996,1000.1377
1997,1000.0327
1998,1000.0841
1999,1000.0997
2000,1000.0549
2001,1000.0769
2002,1000.0495
2003,1000.0949
2004,1000.0722
2005,1000.1098
2006,1000.0943
2007,1000.0587
2008,1000.093
2009,1000.1509
2010,1000.1094
2011,1000.172
2012,1000.1
2013,1000.1279
2014,1000.0789
2015,1000.1115
2016,1000.0851
2017,1000.0804
2018,1000.1276
2019,1000.05
2020,1000.0868
2021,1000.0546
2022,1000.0715
2023,1000.0636
