date,mean summer epilimnion 0-10 m oxygen concentration
1974,10.91
1975,11.82
1976,10.4
1977,10.38
1978,10.42
1979,10.44
1980,11.27
1981,10.4
1982,9.48
1983,10.45
1984,10.17
1985,9.8
1986,10.91
1987,10.21
1988,9.82
1989,9.9
1990,9.31
1991,9.69
1992,9.74
1993,9.83
1994,10.05
1995,10.32
1996,9.62
1997,10.52
1998,9.89
1999,10.37
2000,10.32
2001,9.77
2002,10.88
2003,10.83
2004,11.44
2005,11.43
2006,11.37
2007,10.79
2008,12.08
2009,10.94
2010,10.84
2011,11.69
2012,9.5
2013,11.36
2014,9.66
2015,9.59
2016,11.03
2017,10.12
2018,10.28
2019,10.42
2020,10.43
2021,9.78
2022,10.27
2023,9.95
