date,mean annual Secchi depth
1997,5.47
1998,5.21
1999,4.26
2000,4.28
2001,4.72
2002,4.61
2003,4.4
2004,5.93
2005,5.62
2006,5.06
2007,5.02
2008,4.95
2009,5.04
2010,4.85
2011,5.21
2012,5.27
2013,5.5
2014,6.75
2015,4.54
2016,5.16
2017,5.18
2018,5.49
2019,5.77
2020,6.73
2021,7.04
2022,6.57
2023,6.74
