date,mean winter bottom temperature
1974,4.12
1975,4.66
1976,5.94
1977,3.55
1978,3.76
1979,3.09
1980,3.5
1981,2.65
1982,3.15
1983,3.91
1984,3.58
1986,3.38
1987,3.9
1988,5.24
1989,5.1
1991,4.59
1992,3.29
1993,4.07
1994,4.2
1995,3.98
1996,4.06
1997,3.79
1998,4.5
1999,4.17
2001,4.39
2002,4.31
2003,4.01
2004,4.47
2005,3.85
2006,3.13
2007,5.88
2008,4.35
2009,3.29
2010,3.01
2011,3.92
2012,3.37
2013,4.87
2014,4.96
2015,4.87
2016,5.78
2017,3.25
2018,4.99
2019,4.41
2020,5.6
2021,4.33
2022,5.18
2023,5.68
