date,mean spring surface temperature
1974,11.24
1975,9.29
1976,9.59
1977,7.72
1978,8.08
1979,6.83
1980,6.74
1981,7.39
1982,6.52
1983,5.23
1984,6.66
1985,6.63
1986,6.59
1987,8.31
1988,7.54
1989,9.31
1990,8.47
1991,9.25
1992,8.74
1993,9.86
1994,9.42
1995,9.81
1996,7.24
1997,7.98
1998,9.39
1999,9.29
2000,8.81
2001,7.8
2002,9.65
2003,11.65
2004,8.55
2005,9.09
2006,8.15
2007,12.04
2008,7.38
2009,10.32
2010,9.29
2011,12.33
2012,7.78
2013,7.2
2014,11.87
2015,11.05
2016,9.13
2017,12.33
2018,13.14
2019,9.45
2021,9.0
2022,12.04
2023,9.39
