date,mean spring surface oxygen concentration
1974,16.89
1975,12.53
1976,15.24
1977,12.12
1978,12.38
1979,12.0
1980,12.11
1981,13.69
1982,13.97
1983,12.34
1984,12.94
1985,12.09
1986,13.38
1987,13.65
1988,12.66
1989,11.78
1990,12.32
1991,12.74
1992,11.97
1993,12.82
1994,12.96
1995,12.82
1996,13.21
1997,11.81
1998,12.12
1999,13.23
2000,13.06
2001,11.87
2002,12.58
2003,12.09
2004,12.98
2005,12.42
2006,12.59
2007,13.08
2008,14.19
2009,13.28
2010,14.04
2011,12.58
2012,11.94
2013,12.42
2014,12.1
2015,12.94
2016,11.71
2017,11.83
2018,11.84
2019,11.85
2021,11.99
2022,11.67
2023,11.63
