date,mean winter surface temperature
1974,4.19
1975,4.62
1976,6.05
1977,3.35
1978,3.66
1979,3.14
1980,3.53
1981,2.4
1982,1.49
1983,3.89
1984,3.58
1986,3.21
1987,2.44
1988,5.34
1989,4.65
1991,3.64
1992,3.2
1993,4.64
1994,4.39
1995,4.01
1996,3.94
1997,1.94
1998,4.8
1999,4.27
2001,4.49
2002,4.51
2003,4.08
2004,4.58
2005,3.85
2006,2.84
2007,5.85
2008,4.51
2009,3.18
2010,3.11
2011,4.18
2012,3.38
2013,4.8
2014,5.08
2015,4.84
2016,5.93
2017,2.09
2018,5.13
2019,4.67
2020,5.82
2021,4.51
2022,5.28
2023,5.85
