date,mean summer hypolimnetic oxygen concentration
1974,5.23
1975,4.12
1976,3.88
1977,5.64
1978,4.98
1979,5.42
1980,5.82
1981,6.65
1982,6.58
1983,6.92
1984,6.67
1985,7.16
1986,8.55
1987,6.29
1988,3.74
1989,3.76
1990,4.52
1991,4.43
1992,5.06
1993,5.24
1994,5.73
1995,6.05
1996,5.86
1997,6.0
1998,6.13
1999,6.23
2000,5.98
2001,6.87
2002,6.3
2003,6.06
2004,6.88
2005,6.43
2006,7.69
2007,6.76
2008,7.84
2009,6.69
2010,6.93
2011,6.44
2012,5.84
2013,7.73
2014,5.71
2015,5.34
2016,6.97
2017,6.28
2018,7.22
2019,7.71
2020,7.55
2021,7.94
2022,6.57
2023,6.88
