date,mean summer Schmidt stability
1974,405.4
1975,536.18
1976,940.12
1977,551.77
1978,419.24
1979,521.57
1980,275.17
1981,275.32
1982,470.39
1983,742.77
1984,454.41
1985,492.13
1986,601.38
1987,551.77
1988,635.04
1989,719.87
1990,579.21
1991,629.76
1992,730.6
1993,525.03
1994,839.35
1995,715.67
1996,514.77
1997,457.69
1998,612.37
1999,488.58
2000,470.61
2001,521.95
2002,626.81
2003,966.28
2004,605.88
2005,658.63
2006,950.91
2007,408.29
2008,637.94
2009,632.77
2010,795.35
2011,640.78
2012,619.25
2013,558.12
2014,637.13
2015,643.11
2016,601.66
2017,690.88
2018,967.71
2019,835.06
2020,820.91
2021,527.06
2022,931.47
2023,954.42
