date,mean early autumn hypolimnetic oxygen content
1974,140.06
1975,47.85
1976,75.99
1977,146.4
1978,97.73
1979,82.6
1980,54.68
1981,168.78
1982,134.89
1983,162.89
1984,179.35
1986,237.54
1987,51.64
1988,26.07
1989,25.39
1990,44.83
1991,42.49
1992,65.53
1993,90.84
1994,105.83
1995,98.43
1996,118.52
1997,116.15
1998,111.75
1999,100.58
2000,111.12
2001,164.35
2002,136.93
2003,107.45
2004,127.44
2005,112.05
2006,138.11
2007,122.27
2008,132.62
2009,95.37
2010,134.85
2011,97.98
2012,158.76
2013,163.41
2014,146.19
2015,83.04
2016,147.41
2017,119.11
2018,142.3
2019,174.4
2020,130.89
2021,202.72
2022,106.51
2023,125.06
