date,mean summer bottom temperature
1974,6.87
1975,6.9
1976,7.27
1977,7.42
1978,8.82
1979,7.14
1980,6.92
1981,6.95
1982,6.51
1983,7.24
1984,6.89
1985,7.22
1986,6.0
1987,7.3
1988,6.65
1989,7.56
1990,7.47
1991,6.96
1992,7.69
1993,6.72
1994,7.11
1995,7.79
1996,6.47
1997,8.69
1998,7.67
1999,7.02
2000,7.87
2001,7.41
2002,8.43
2003,7.09
2004,7.67
2005,7.19
2006,7.22
2007,8.78
2008,7.49
2009,6.52
2010,7.14
2011,5.46
2012,6.91
2013,5.92
2014,7.74
2015,6.9
2016,7.91
2017,8.08
2018,6.93
2019,8.17
2020,7.44
2021,8.61
2022,7.87
2023,8.17
