date,mean annual heat content
1974,552344136.44
1975,599832801.1
1976,591409649.25
1977,557890153.33
1978,576315069.43
1979,551632595.58
1980,521561468.77
1981,494811116.88
1982,541538189.54
1983,536283817.05
1984,531832530.98
1986,529590875.84
1987,557997185.31
1988,598688739.47
1989,590596819.64
1990,648339970.47
1991,575552883.75
1992,582027302.75
1993,587092711.84
1994,612547573.48
1995,609668276.8
1996,553070629.22
1997,601038770.32
1998,581449737.09
1999,604973531.73
2000,670317374.13
2001,611806306.16
2002,640093179.0
2003,632981660.73
2004,604650010.04
2005,599918877.21
2006,588327564.58
2007,607034513.58
2008,611784038.49
2009,583330758.4
2010,571596949.32
2011,580776367.78
2012,599106470.91
2013,558409017.37
2014,649198325.31
2015,606572885.93
2016,640548088.75
2017,627772165.25
2018,675900406.69
2019,655328175.08
2020,656862598.38
2021,641120895.18
2022,678561852.14
2023,663786598.98
