date,mean late autumn Schmidt stability
1974,2.15
1975,22.7
1976,31.99
1977,32.1
1978,9.0
1979,9.52
1980,3.84
1981,1.82
1982,14.09
1983,12.32
1984,14.68
1985,184.57
1986,23.13
1987,22.07
1988,33.42
1989,42.07
1990,27.58
1991,18.01
1992,16.37
1993,16.99
1994,45.61
1995,31.94
1996,24.31
1997,4.2
1998,17.42
1999,29.07
2000,19.88
2001,40.73
2002,8.21
2003,-0.9
2004,21.66
2005,67.24
2006,51.06
2007,10.77
2008,26.61
2009,28.99
2010,19.0
2011,38.22
2012,24.35
2013,43.5
2014,55.88
2015,41.21
2016,34.66
2017,24.57
2018,76.28
2019,34.96
2020,30.65
2021,34.45
2022,107.14
2023,60.47
