date,mean late autumn hypolimnetic oxygen concentration
1974,10.42
1975,6.49
1976,7.69
1977,8.57
1978,8.14
1979,8.67
1980,9.62
1981,10.1
1982,7.93
1983,8.75
1984,5.47
1985,6.1
1986,7.81
1987,6.8
1988,5.17
1989,3.42
1990,6.11
1991,9.06
1992,8.82
1993,8.86
1994,3.3
1995,7.8
1996,7.38
1997,9.62
1998,9.05
1999,5.85
2000,6.22
2001,8.44
2002,11.18
2003,10.09
2004,6.78
2005,3.8
2006,6.16
2007,8.56
2008,6.02
2009,5.09
2010,6.47
2011,3.01
2012,5.38
2013,5.58
2014,2.96
2015,4.67
2016,8.88
2017,8.74
2018,4.36
2019,7.4
2020,3.45
2021,6.61
2022,1.24
2023,7.97
