date,mean autumn surface temperature
1974,11.2
1975,14.86
1976,14.26
1977,13.36
1978,13.22
1979,13.35
1980,13.3
1981,12.34
1982,12.93
1983,14.0
1984,12.67
1985,12.79
1986,13.65
1987,14.05
1988,13.96
1989,14.29
1990,13.98
1991,14.93
1992,14.17
1993,13.16
1994,13.67
1995,14.0
1996,12.94
1997,14.95
1998,13.16
1999,14.36
2000,14.03
2001,15.32
2002,13.36
2003,12.58
2004,14.39
2005,14.84
2006,15.83
2007,14.82
2008,13.75
2009,14.86
2010,13.83
2011,14.3
2012,14.81
2013,14.5
2014,15.94
2015,13.92
2016,14.96
2017,14.12
2018,17.0
2019,15.32
2020,14.59
2021,15.32
2022,14.98
2023,16.91
