date,mean autumn hypolimnetic density
1974,999.9588
1975,999.9732
1976,999.9824
1977,999.9978
1978,999.8321
1979,999.9585
1980,999.9394
1981,999.9784
1982,999.996
1983,999.9636
1984,999.9591
1985,999.9898
1986,1000.025
1987,999.9275
1988,1000.0143
1989,1000.0299
1990,999.9665
1991,1000.0172
1992,999.9891
1993,1000.014
1994,999.9992
1995,999.9551
1996,1000.0478
1997,999.9291
1998,999.9625
1999,1000.0017
2000,999.9663
2001,999.922
2002,999.9485
2003,999.9636
2004,999.9553
2005,1000.039
2006,1000.0253
2007,999.8776
2008,1000.0152
2009,1000.0882
2010,1000.0302
2011,1000.1508
2012,999.9606
2013,1000.0035
2014,1000.0174
2015,1000.0198
2016,1000.0045
2017,999.9698
2018,1000.1119
2019,999.9696
2020,1000.0035
2021,999.9487
2022,1000.0073
2023,999.9689
