date,minimum bottom oxygen concentration
1974,2.25
1975,0.7
1976,0.65
1977,2.95
1978,1.65
1979,1.4
1980,0.05
1981,3.45
1982,2.5
1983,3.0
1984,1.5
1986,2.0
1987,0.2
1988,0.15
1989,0.25
1990,0.55
1991,0.5
1992,0.45
1993,1.1
1994,0.85
1995,0.85
1996,1.5
1997,0.55
1998,0.85
1999,0.7
2000,1.35
2001,1.8
2002,0.75
2003,1.3
2004,0.6
2005,0.15
2006,0.75
2007,0.55
2008,1.1
2009,0.05
2010,1.1
2011,0.3
2012,0.95
2013,1.9
2014,0.35
2015,0.2
2016,1.95
2017,1.65
2018,1.25
2019,2.25
2020,0.9
2021,2.55
2022,0.1
2023,1.45
