date,mean spring bottom temperature
1974,5.03
1975,5.67
1976,5.5
1977,6.34
1978,5.83
1979,5.27
1980,5.18
1981,5.15
1982,4.49
1983,4.87
1984,4.83
1985,4.83
1986,4.7
1987,4.68
1988,5.69
1989,6.09
1990,6.63
1991,5.26
1992,5.44
1993,4.92
1994,6.09
1995,5.85
1996,4.82
1997,6.4
1998,6.13
1999,5.62
2000,6.05
2001,6.79
2002,6.49
2003,5.6
2004,6.03
2005,5.31
2006,5.05
2007,5.81
2008,6.42
2009,5.27
2010,5.48
2011,5.13
2012,3.43
2013,4.77
2014,6.03
2015,5.15
2016,5.96
2017,6.38
2018,5.83
2019,6.13
2021,6.36
2022,6.74
2023,6.71
