date,minimum Secchi depth
1997,3.8
1998,2.7
1999,2.3
2000,3.0
2001,2.9
2002,3.2
2003,2.8
2004,2.5
2005,2.9
2006,3.1
2007,3.4
2008,2.6
2009,2.8
2010,1.6
2011,3.2
2012,2.8
2013,3.7
2014,4.5
2015,2.4
2016,3.8
2017,3.6
2018,3.5
2019,3.3
2020,4.4
2021,4.2
2022,3.9
2023,3.6
