date,mean winter epilimnion 0-10 m oxygen concentration
1974,11.04
1975,10.94
1976,11.33
1977,11.17
1978,11.29
1979,11.17
1980,11.49
1981,11.89
1982,12.05
1983,11.31
1984,11.37
1986,11.63
1987,12.31
1988,10.92
1989,10.8
1990,10.48
1991,11.33
1992,11.0
1993,11.39
1994,11.23
1995,11.19
1996,11.18
1997,11.25
1998,11.54
1999,10.99
2001,11.11
2002,12.04
2003,13.33
2004,12.87
2005,11.23
2006,12.37
2007,11.5
2008,13.83
2009,12.81
2010,12.62
2011,13.04
2012,12.01
2013,12.25
2014,11.55
2015,11.69
2016,11.14
2017,13.81
2018,11.42
2019,11.74
2020,11.31
2021,11.62
2022,11.49
2023,11.41
