date,mean spring bottom oxygen concentration
1974,10.18
1975,10.7
1976,11.08
1977,10.87
1978,11.21
1979,10.85
1980,10.76
1981,11.44
1982,11.75
1983,11.52
1984,11.82
1985,11.62
1986,12.12
1987,11.21
1988,10.62
1989,10.68
1990,10.69
1991,9.13
1992,11.02
1993,10.97
1994,11.4
1995,10.72
1996,11.27
1997,11.07
1998,10.61
1999,9.95
2000,10.72
2001,11.17
2002,10.45
2003,8.94
2004,11.33
2005,11.0
2006,12.02
2007,11.32
2008,13.55
2009,12.41
2010,11.03
2011,10.9
2012,10.88
2013,11.14
2014,9.09
2015,10.16
2016,10.34
2017,9.85
2018,11.05
2019,10.25
2021,11.03
2022,10.47
2023,10.59
