date,mean autumn surface oxygen concentration
1974,9.62
1975,9.22
1976,9.25
1977,9.74
1978,8.84
1979,9.08
1980,9.83
1981,9.57
1982,10.04
1983,10.88
1984,10.45
1985,9.38
1986,10.79
1987,9.57
1988,9.49
1989,8.93
1990,9.41
1991,9.38
1992,9.07
1993,9.49
1994,9.67
1995,9.65
1996,9.89
1997,9.45
1998,9.56
1999,9.91
2000,10.02
2001,11.95
2002,10.67
2003,11.13
2004,9.97
2005,10.24
2006,10.5
2007,9.98
2008,11.46
2009,10.55
2010,10.7
2011,9.71
2012,9.93
2013,9.96
2014,10.25
2015,9.62
2016,9.6
2017,9.7
2018,10.75
2019,9.55
2020,10.09
2021,9.23
2022,9.69
2023,9.05
