date,mean summer surface oxygen concentration
1974,10.95
1975,12.88
1976,12.14
1977,10.96
1978,10.75
1979,10.65
1980,11.83
1981,10.72
1982,9.56
1983,11.36
1984,10.75
1985,9.97
1986,11.61
1987,10.32
1988,10.0
1989,10.7
1990,9.37
1991,10.09
1992,9.75
1993,10.11
1994,10.72
1995,11.21
1996,9.61
1997,11.28
1998,9.91
1999,10.62
2000,10.09
2001,10.18
2002,11.09
2003,10.97
2004,11.48
2005,11.39
2006,11.53
2007,10.87
2008,11.99
2009,11.71
2010,10.99
2011,11.84
2012,9.56
2013,11.77
2014,9.76
2015,9.86
2016,11.06
2017,10.15
2018,10.86
2019,10.58
2020,10.82
2021,9.89
2022,10.64
2023,10.1
