date,mean late autumn bottom oxygen concentration
1974,10.33
1975,6.24
1976,5.05
1977,8.3
1978,4.56
1979,5.91
1980,9.49
1981,9.68
1982,7.36
1983,5.38
1984,3.21
1985,5.79
1986,5.63
1987,6.61
1988,5.0
1989,3.13
1990,5.82
1991,8.97
1992,7.61
1993,8.75
1994,2.65
1995,7.63
1996,7.0
1997,8.07
1998,8.9
1999,5.04
2000,3.62
2001,7.77
2002,8.93
2003,5.88
2004,3.49
2005,3.27
2006,2.16
2007,6.66
2008,5.06
2009,4.3
2010,5.56
2011,2.4
2012,4.63
2013,5.24
2014,0.97
2015,4.59
2016,6.12
2017,8.6
2018,3.59
2019,2.3
2020,2.48
2021,3.61
2022,0.35
2023,7.75
