date,mean early autumn thermocline depth
1974,15.88
1975,20.31
1976,15.48
1977,21.35
1978,16.73
1979,19.53
1980,21.02
1981,20.6
1982,17.83
1983,15.81
1984,20.52
1986,14.99
1987,18.94
1988,18.94
1989,17.35
1990,15.84
1991,16.03
1992,16.9
1993,21.24
1994,17.72
1995,19.29
1996,17.52
1997,15.58
1998,16.31
1999,19.21
2000,21.27
2001,18.68
2002,16.72
2003,14.98
2004,17.39
2005,19.03
2006,14.37
2007,21.32
2008,19.49
2009,16.4
2010,20.89
2011,17.41
2012,20.92
2013,18.42
2014,20.27
2015,18.05
2016,20.34
2017,22.72
2018,13.72
2019,16.29
2020,17.7
2021,20.56
2022,14.13
2023,13.5
