date,mean summer surface temperature
1974,17.89
1975,20.6
1976,23.23
1977,20.84
1978,18.69
1979,18.88
1980,16.94
1981,15.43
1982,18.56
1983,21.78
1984,18.74
1985,18.47
1986,20.24
1987,20.43
1988,20.4
1989,21.21
1990,19.57
1991,20.59
1992,22.23
1993,18.61
1994,23.32
1995,21.96
1996,18.41
1997,18.64
1998,20.29
1999,20.03
2000,18.66
2001,19.86
2002,21.2
2003,23.75
2004,20.33
2005,21.02
2006,23.4
2007,18.25
2008,20.36
2009,20.74
2010,22.5
2011,20.15
2012,20.22
2013,18.13
2014,20.23
2015,20.14
2016,22.95
2017,21.86
2018,23.46
2019,23.18
2020,22.66
2021,19.84
2022,23.52
2023,24.2
