date,mean winter surface oxygen concentration
1974,11.23
1975,10.99
1976,11.48
1977,11.2
1978,11.35
1979,11.2
1980,11.51
1981,11.9
1982,12.18
1983,11.31
1984,11.38
1986,11.63
1987,12.83
1988,10.91
1989,10.85
1990,10.61
1991,11.69
1992,11.1
1993,11.47
1994,11.19
1995,11.25
1996,11.22
1997,11.81
1998,11.66
1999,11.3
2001,11.21
2002,12.31
2003,13.45
2004,12.85
2005,11.22
2006,12.34
2007,11.52
2008,13.47
2009,12.8
2010,12.7
2011,13.05
2012,12.03
2013,12.32
2014,11.58
2015,11.79
2016,11.15
2017,13.89
2018,11.44
2019,11.81
2020,11.34
2021,11.69
2022,11.56
2023,11.39
